,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,stalled-cycles-backend,stalled-cycles-frontend,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,problem_size,threads,time,speedup
96,642974818,29924400,14542466,104961666,6651479697,3507315160,588511250,1457680593,4518,3136.04,768,135698,135699,3143.32,47160869,1622633494,4648,47569273,40774960,1610193666,28964763,13251137,94507213,18578148,28701435,684355625,998958,1659940835,289652,1582769424,0,1,1.7223333333333333,1.0
97,685927864,29709071,12640242,101717848,6541162628,3667795872,735980583,1436952458,5503,3076.15,865,135602,135603,3082.77,45795336,1710150679,5537,46004825,40318189,1671893816,30862734,13493790,99877023,18195945,30357247,690131341,1013578,1726266640,293609,1620551477,0,2,0.494,3.4865047233468287
98,852136571,31233776,11976838,100867624,6906572199,3991789405,912481660,1421386192,7420,3275.11,965,136751,136752,3281.36,47349675,1958011646,5148,49080362,35572800,1864476860,32800273,10560947,95020403,14823085,30362755,879099581,924081,1957346835,309806,1846909975,0,4,0.697,2.471066475370636
99,735780600,32252946,9773028,104098502,6372149962,3796599188,906323044,1427021180,6469,3021.52,1047,137318,137320,3027.37,45232585,1836339840,5736,45109510,33671604,1681129564,30245844,9236791,95612463,14486677,30825459,726350683,898833,1782682348,286474,1728893929,0,8,0.6303333333333333,2.7324167107350608
100,618812589,29171440,12818892,102566215,6110331968,3397361235,906983371,1298718594,4979,2908.18,1009,138529,138530,2915.12,46542631,1675038388,5925,47146897,36150294,1683635442,34776246,11190054,100204806,15866681,31879617,637710197,1081254,1623073511,338855,1601730117,0,16,0.4479999999999999,3.844494047619048
101,761444851,32422787,12105452,106157852,6513085929,3840057563,1081834524,1382755032,8327,3097.95,1114,138569,138570,3105.97,47792378,1886190089,6234,46897161,37264563,1729507293,27926536,12445449,98751590,18104853,31442361,767292738,1052071,1840835248,311830,1782763297,0,32,0.2649999999999999,6.499371069182391
102,699513408,30984688,12778402,110235049,6696406268,3667171364,976645126,1453250598,8776,3166.69,1630,139109,139110,3176.83,49424839,1790490116,6037,48310502,41722684,1687641901,30725478,14027117,104203178,19956015,31041643,712900565,1128954,1817398481,328178,1697210485,0,64,0.2953333333333333,5.831828442437924
103,678108891,30340055,10904464,110275978,6549792754,3660681468,964249605,1547682684,8315,3116.93,2032,139237,139238,3127.02,50015730,1763780733,5690,51478247,38642114,1753496137,31375847,11036748,103299727,17413552,30346223,695799351,1088264,1765029909,335655,1653096724,0,128,0.7286666666666667,2.363677950594693
104,1252950820,62544660,18898325,164585776,12446440291,7595364469,1950363063,1817779281,6570,5849.73,853,149610,149611,5857.88,87464635,3419145654,5162,98631134,46036859,3145742356,82376764,19067072,157132413,29005831,61320012,1274935286,2343166,3413747536,311130,3156745333,1,1,2.077666666666667,1.0
105,1194315073,61863811,14534083,158733837,11210224508,7443688855,2357442616,1845987686,5862,5245.33,1025,144377,144378,5251.82,89060974,3381889628,4426,99630596,36597863,3098033685,85253961,14498456,149849149,24046785,58607532,1229331527,1143757,3326571795,328683,3089689197,1,2,0.992,2.094422043010753
